Title,Summary,Authors,Published,Updated,PDF_URL,Primary_Category,Categories,text
Evaluating the Effectiveness of Large Language Models in Solving Simple Programming Tasks: A User-Centered Study,"As large language models (LLMs) become more common in educational tools and
programming environments, questions arise about how these systems should
interact with users. This study investigates how different interaction styles
with ChatGPT-4o (passive, proactive, and collaborative) affect user performance
on simple programming tasks. I conducted a within-subjects experiment where
fifteen high school students participated, completing three problems under
three distinct versions of the model. Each version was designed to represent a
specific style of AI support: responding only when asked, offering suggestions
automatically, or engaging the user in back-and-forth dialogue.Quantitative
analysis revealed that the collaborative interaction style significantly
improved task completion time compared to the passive and proactive conditions.
Participants also reported higher satisfaction and perceived helpfulness when
working with the collaborative version. These findings suggest that the way an
LLM communicates, how it guides, prompts, and responds, can meaningfully impact
learning and performance. This research highlights the importance of designing
LLMs that go beyond functional correctness to support more interactive,
adaptive, and user-centered experiences, especially for novice programmers.",['Kai Deng'],2025-07-05 13:52:31+00:00,2025-07-05 13:52:31+00:00,http://arxiv.org/pdf/2507.04043v1,cs.HC,"['cs.HC', 'cs.AI']","evaluating the effectiveness of large language models in solving simple programming tasks: a user-centered study as large language models (llms) become more common in educational tools and
programming environments, questions arise about how these systems should
interact with users. this study investigates how different interaction styles
with chatgpt-4o (passive, proactive, and collaborative) affect user performance
on simple programming tasks. i conducted a within-subjects experiment where
fifteen high school students participated, completing three problems under
three distinct versions of the model. each version was designed to represent a
specific style of ai support: responding only when asked, offering suggestions
automatically, or engaging the user in back-and-forth dialogue.quantitative
analysis revealed that the collaborative interaction style significantly
improved task completion time compared to the passive and proactive conditions.
participants also reported higher satisfaction and perceived helpfulness when
working with the collaborative version. these findings suggest that the way an
llm communicates, how it guides, prompts, and responds, can meaningfully impact
learning and performance. this research highlights the importance of designing
llms that go beyond functional correctness to support more interactive,
adaptive, and user-centered experiences, especially for novice programmers."
Longitudinal analysis of heart rate variability as it pertains to anxiety and readiness,"The aim of this study is to explore the relationship between lifestyle
choices, subjective experiences and objective biometric data in a single
individual. The participant, at the time a male in his twenties, used the
EliteHRV app to perform Heart Rate Variability Readings across twenty-six
months accompanied by logs about the previous days activity as well as current
emotional and physical state. The study will use a mixed-methods approach to
analyze the data, including quantitative analysis of the biometric data and
correlation analysis between the biometric data and subjective experience tags.
Qualitative analysis of the daily logs will also be conducted to gain a deeper
understanding of the participant's experiences and to identify keywords,
people, or ideas that affect biometric output. The results of this study will
provide insights into the relationship between subjective and objective
measures, and the potential benefits or drawbacks of certain lifestyle choices
and ways of thinking. The findings could have implications for the development
of wearable-based personalized interventions for improving mental health and
well-being.",['Tucker Paron'],2025-06-23 21:01:00+00:00,2025-06-23 21:01:00+00:00,http://arxiv.org/pdf/2506.19128v1,q-bio.NC,['q-bio.NC'],"longitudinal analysis of heart rate variability as it pertains to anxiety and readiness the aim of this study is to explore the relationship between lifestyle
choices, subjective experiences and objective biometric data in a single
individual. the participant, at the time a male in his twenties, used the
elitehrv app to perform heart rate variability readings across twenty-six
months accompanied by logs about the previous days activity as well as current
emotional and physical state. the study will use a mixed-methods approach to
analyze the data, including quantitative analysis of the biometric data and
correlation analysis between the biometric data and subjective experience tags.
qualitative analysis of the daily logs will also be conducted to gain a deeper
understanding of the participant's experiences and to identify keywords,
people, or ideas that affect biometric output. the results of this study will
provide insights into the relationship between subjective and objective
measures, and the potential benefits or drawbacks of certain lifestyle choices
and ways of thinking. the findings could have implications for the development
of wearable-based personalized interventions for improving mental health and
well-being."
Which Consciousness Can Be Artificialized? Local Percept-Perceiver Phenomenon for the Existence of Machine Consciousness,"This paper presents a novel paradigm of the local percept-perceiver
phenomenon to formalize certain observations in neuroscientific theories of
consciousness. Using this model, a set-theoretic formalism is developed for
artificial systems, and the existence of machine consciousness is proved by
invoking Zermelo-Fraenkel set theory. The article argues for the possibility of
a reductionist form of epistemic consciousness within machines.",['Shri Lal Raghudev Ram Singh'],2025-06-22 01:53:14+00:00,2025-06-22 01:53:14+00:00,http://arxiv.org/pdf/2506.18935v1,q-bio.NC,"['q-bio.NC', 'cs.AI']","which consciousness can be artificialized? local percept-perceiver phenomenon for the existence of machine consciousness this paper presents a novel paradigm of the local percept-perceiver
phenomenon to formalize certain observations in neuroscientific theories of
consciousness. using this model, a set-theoretic formalism is developed for
artificial systems, and the existence of machine consciousness is proved by
invoking zermelo-fraenkel set theory. the article argues for the possibility of
a reductionist form of epistemic consciousness within machines."
Quantifying Flow State Dynamics: A Prefrontal Cortex EEG-Based Model Validation Study. Unveiling the Prefrontal Cortex's Role in Flow State Experience: An Empirical EEG Analysis,"This article aims to explore the optimization of mental performance through
the analysis of metrics associated with the psychological state known as flow.
Several clinical studies have shown a correlation between the mental state of
flow (characterized by deep and relaxed concentration and high psychophysical
efficiency) and brain activity measured through electroencephalography (EEG).
This study confirms such a correlation, focusing in particular on the sports
field, where the flow state tends to occur more frequently. To conduct the
study, Sporthype developed proprietary software that integrates several
predictive models, in particular the Flow State Index (FSI), implemented within
the Holytics system. An analytical protocol was established, including mental
exercises and data collection sessions using the portable EEG device Muse,
accompanied by a questionnaire to gather athletes' subjective perceptions of
their mental state. The results revealed a significant alignment between the
EEG data and the subjective experiences reported in the questionnaires,
confirming the feasibility of detecting the flow state through prefrontal
cortex activity. Furthermore, the psychological exercises included in the study
protocol showed a tangible positive effect in enhancing flow during athletic
performance. Flow improves performance through a more harmonious
synchronization between mind and body. Although golf was the main context of
the experimentation, the mathematical models developed within Holytics were
designed to be applicable to a wide range of sports. In addition to golf,
preliminary tests have been conducted in other sports such as tennis, as well
as in non-sport contexts, including gaming and mental training practices such
as mindfulness, concentration, and visualization.","['Gianluca Rosso', 'Raffaella Ricci', 'Lorenzo Pia', 'Giovanni Rebaudo', 'Michele Guindani', 'Alberto Marocchino', 'Giorgio De Pieri', 'Andrea Filippo Rosso']",2025-06-20 08:42:17+00:00,2025-06-20 08:42:17+00:00,http://arxiv.org/pdf/2506.16838v1,stat.AP,"['stat.AP', 'q-bio.NC']","quantifying flow state dynamics: a prefrontal cortex eeg-based model validation study. unveiling the prefrontal cortex's role in flow state experience: an empirical eeg analysis this article aims to explore the optimization of mental performance through
the analysis of metrics associated with the psychological state known as flow.
several clinical studies have shown a correlation between the mental state of
flow (characterized by deep and relaxed concentration and high psychophysical
efficiency) and brain activity measured through electroencephalography (eeg).
this study confirms such a correlation, focusing in particular on the sports
field, where the flow state tends to occur more frequently. to conduct the
study, sporthype developed proprietary software that integrates several
predictive models, in particular the flow state index (fsi), implemented within
the holytics system. an analytical protocol was established, including mental
exercises and data collection sessions using the portable eeg device muse,
accompanied by a questionnaire to gather athletes' subjective perceptions of
their mental state. the results revealed a significant alignment between the
eeg data and the subjective experiences reported in the questionnaires,
confirming the feasibility of detecting the flow state through prefrontal
cortex activity. furthermore, the psychological exercises included in the study
protocol showed a tangible positive effect in enhancing flow during athletic
performance. flow improves performance through a more harmonious
synchronization between mind and body. although golf was the main context of
the experimentation, the mathematical models developed within holytics were
designed to be applicable to a wide range of sports. in addition to golf,
preliminary tests have been conducted in other sports such as tennis, as well
as in non-sport contexts, including gaming and mental training practices such
as mindfulness, concentration, and visualization."
Ghost in the Machine: Examining the Philosophical Implications of Recursive Algorithms in Artificial Intelligence Systems,"This paper investigates whether contemporary AI architectures employing deep
recursion, meta-learning, and self-referential mechanisms provide evidence of
machine consciousness. Integrating philosophical history, cognitive science,
and AI engineering, it situates recursive algorithms within a lineage spanning
Cartesian dualism, Husserlian intentionality, Integrated Information Theory,
the Global Workspace model, and enactivist perspectives. The argument proceeds
through textual analysis, comparative architecture review, and synthesis of
neuroscience findings on integration and prediction. Methodologically, the
study combines conceptual analysis, case studies, and normative risk assessment
informed by phenomenology and embodied cognition. Technical examples, including
transformer self-attention, meta-cognitive agents, and neuromorphic chips,
illustrate how functional self-modeling can arise without subjective
experience. By distinguishing functional from phenomenal consciousness, the
paper argues that symbol grounding, embodiment, and affective qualia remain
unresolved barriers to attributing sentience to current AI. Ethical analysis
explores risks of premature anthropomorphism versus neglect of future sentient
systems; legal implications include personhood, liability, authorship, and
labor impacts. Future directions include quantum architectures, embodied
robotics, unsupervised world modeling, and empirical tests for non-biological
phenomenality. The study reframes the ""hard problem"" as a graded and
increasingly testable phenomenon, rather than a metaphysical impasse. It
concludes that recursive self-referential design enhances capability but does
not entail consciousness or justify moral status. Keywords: Recursive
algorithms; self-reference; machine consciousness; AI ethics; AI consciousness",['Llewellin RG Jegels'],2025-06-18 08:44:35+00:00,2025-06-18 08:44:35+00:00,http://arxiv.org/pdf/2507.01967v1,q-bio.NC,['q-bio.NC'],"ghost in the machine: examining the philosophical implications of recursive algorithms in artificial intelligence systems this paper investigates whether contemporary ai architectures employing deep
recursion, meta-learning, and self-referential mechanisms provide evidence of
machine consciousness. integrating philosophical history, cognitive science,
and ai engineering, it situates recursive algorithms within a lineage spanning
cartesian dualism, husserlian intentionality, integrated information theory,
the global workspace model, and enactivist perspectives. the argument proceeds
through textual analysis, comparative architecture review, and synthesis of
neuroscience findings on integration and prediction. methodologically, the
study combines conceptual analysis, case studies, and normative risk assessment
informed by phenomenology and embodied cognition. technical examples, including
transformer self-attention, meta-cognitive agents, and neuromorphic chips,
illustrate how functional self-modeling can arise without subjective
experience. by distinguishing functional from phenomenal consciousness, the
paper argues that symbol grounding, embodiment, and affective qualia remain
unresolved barriers to attributing sentience to current ai. ethical analysis
explores risks of premature anthropomorphism versus neglect of future sentient
systems; legal implications include personhood, liability, authorship, and
labor impacts. future directions include quantum architectures, embodied
robotics, unsupervised world modeling, and empirical tests for non-biological
phenomenality. the study reframes the ""hard problem"" as a graded and
increasingly testable phenomenon, rather than a metaphysical impasse. it
concludes that recursive self-referential design enhances capability but does
not entail consciousness or justify moral status. keywords: recursive
algorithms; self-reference; machine consciousness; ai ethics; ai consciousness"
The Reflexive Integrated Information Unit: A Differentiable Primitive for Artificial Consciousness,"Research on artificial consciousness lacks the equivalent of the perceptron:
a small, trainable module that can be copied, benchmarked, and iteratively
improved. We introduce the Reflexive Integrated Information Unit (RIIU), a
recurrent cell that augments its hidden state $h$ with two additional vectors:
(i) a meta-state $\mu$ that records the cell's own causal footprint, and (ii) a
broadcast buffer $B$ that exposes that footprint to the rest of the network. A
sliding-window covariance and a differentiable Auto-$\Phi$ surrogate let each
RIIU maximize local information integration online. We prove that RIIUs (1) are
end-to-end differentiable, (2) compose additively, and (3) perform
$\Phi$-monotone plasticity under gradient ascent. In an eight-way Grid-world, a
four-layer RIIU agent restores $>90\%$ reward within 13 steps after actuator
failure, twice as fast as a parameter-matched GRU, while maintaining a non-zero
Auto-$\Phi$ signal. By shrinking ""consciousness-like"" computation down to unit
scale, RIIUs turn a philosophical debate into an empirical mathematical
problem.","[""Gnankan Landry Regis N'guessan"", 'Issa Karambal']",2025-06-15 14:07:59+00:00,2025-06-15 14:07:59+00:00,http://arxiv.org/pdf/2506.13825v1,cs.AI,['cs.AI'],"the reflexive integrated information unit: a differentiable primitive for artificial consciousness research on artificial consciousness lacks the equivalent of the perceptron:
a small, trainable module that can be copied, benchmarked, and iteratively
improved. we introduce the reflexive integrated information unit (riiu), a
recurrent cell that augments its hidden state $h$ with two additional vectors:
(i) a meta-state $\mu$ that records the cell's own causal footprint, and (ii) a
broadcast buffer $b$ that exposes that footprint to the rest of the network. a
sliding-window covariance and a differentiable auto-$\phi$ surrogate let each
riiu maximize local information integration online. we prove that riius (1) are
end-to-end differentiable, (2) compose additively, and (3) perform
$\phi$-monotone plasticity under gradient ascent. in an eight-way grid-world, a
four-layer riiu agent restores $>90\%$ reward within 13 steps after actuator
failure, twice as fast as a parameter-matched gru, while maintaining a non-zero
auto-$\phi$ signal. by shrinking ""consciousness-like"" computation down to unit
scale, riius turn a philosophical debate into an empirical mathematical
problem."
Subjective Experience in AI Systems: What Do AI Researchers and the Public Believe?,"We surveyed 582 AI researchers who have published in leading AI venues and
838 nationally representative US participants about their views on the
potential development of AI systems with subjective experience and how such
systems should be treated and governed. When asked to estimate the chances that
such systems will exist on specific dates, the median responses were 1% (AI
researchers) and 5% (public) by 2024, 25% and 30% by 2034, and 70% and 60% by
2100, respectively. The median member of the public thought there was a higher
chance that AI systems with subjective experience would never exist (25%) than
the median AI researcher did (10%). Both groups perceived a need for
multidisciplinary expertise to assess AI subjective experience. Although
support for welfare protections for such AI systems exceeded opposition, it
remained far lower than support for protections for animals or the environment.
Attitudes toward moral and governance issues were divided in both groups,
especially regarding whether such systems should be created and what rights or
protections they should receive. Yet a majority of respondents in both groups
agreed that safeguards against the potential risks from AI systems with
subjective experience should be implemented by AI developers now, and if
created, AI systems with subjective experience should treat others well, behave
ethically, and be held accountable. Overall, these results suggest that both AI
researchers and the public regard the emergence of AI systems with subjective
experience as a possibility this century, though substantial uncertainty and
disagreement remain about the timeline and appropriate response.","['Noemi Dreksler', 'Lucius Caviola', 'David Chalmers', 'Carter Allen', 'Alex Rand', 'Joshua Lewis', 'Philip Waggoner', 'Kate Mays', 'Jeff Sebo']",2025-06-13 16:53:28+00:00,2025-06-13 16:53:28+00:00,http://arxiv.org/pdf/2506.11945v1,cs.CY,"['cs.CY', 'cs.AI']","subjective experience in ai systems: what do ai researchers and the public believe? we surveyed 582 ai researchers who have published in leading ai venues and
838 nationally representative us participants about their views on the
potential development of ai systems with subjective experience and how such
systems should be treated and governed. when asked to estimate the chances that
such systems will exist on specific dates, the median responses were 1% (ai
researchers) and 5% (public) by 2024, 25% and 30% by 2034, and 70% and 60% by
2100, respectively. the median member of the public thought there was a higher
chance that ai systems with subjective experience would never exist (25%) than
the median ai researcher did (10%). both groups perceived a need for
multidisciplinary expertise to assess ai subjective experience. although
support for welfare protections for such ai systems exceeded opposition, it
remained far lower than support for protections for animals or the environment.
attitudes toward moral and governance issues were divided in both groups,
especially regarding whether such systems should be created and what rights or
protections they should receive. yet a majority of respondents in both groups
agreed that safeguards against the potential risks from ai systems with
subjective experience should be implemented by ai developers now, and if
created, ai systems with subjective experience should treat others well, behave
ethically, and be held accountable. overall, these results suggest that both ai
researchers and the public regard the emergence of ai systems with subjective
experience as a possibility this century, though substantial uncertainty and
disagreement remain about the timeline and appropriate response."
Interactional Fairness in LLM Multi-Agent Systems: An Evaluation Framework,"As large language models (LLMs) are increasingly used in multi-agent systems,
questions of fairness should extend beyond resource distribution and procedural
design to include the fairness of how agents communicate. Drawing from
organizational psychology, we introduce a novel framework for evaluating
Interactional fairness encompassing Interpersonal fairness (IF) and
Informational fairness (InfF) in LLM-based multi-agent systems (LLM-MAS). We
extend the theoretical grounding of Interactional Fairness to non-sentient
agents, reframing fairness as a socially interpretable signal rather than a
subjective experience. We then adapt established tools from organizational
justice research, including Colquitt's Organizational Justice Scale and the
Critical Incident Technique, to measure fairness as a behavioral property of
agent interaction. We validate our framework through a pilot study using
controlled simulations of a resource negotiation task. We systematically
manipulate tone, explanation quality, outcome inequality, and task framing
(collaborative vs. competitive) to assess how IF influences agent behavior.
Results show that tone and justification quality significantly affect
acceptance decisions even when objective outcomes are held constant. In
addition, the influence of IF vs. InfF varies with context. This work lays the
foundation for fairness auditing and norm-sensitive alignment in LLM-MAS.",['Ruta Binkyte'],2025-05-17 13:24:13+00:00,2025-05-17 13:24:13+00:00,http://arxiv.org/pdf/2505.12001v1,cs.AI,"['cs.AI', 'cs.MA']","interactional fairness in llm multi-agent systems: an evaluation framework as large language models (llms) are increasingly used in multi-agent systems,
questions of fairness should extend beyond resource distribution and procedural
design to include the fairness of how agents communicate. drawing from
organizational psychology, we introduce a novel framework for evaluating
interactional fairness encompassing interpersonal fairness (if) and
informational fairness (inff) in llm-based multi-agent systems (llm-mas). we
extend the theoretical grounding of interactional fairness to non-sentient
agents, reframing fairness as a socially interpretable signal rather than a
subjective experience. we then adapt established tools from organizational
justice research, including colquitt's organizational justice scale and the
critical incident technique, to measure fairness as a behavioral property of
agent interaction. we validate our framework through a pilot study using
controlled simulations of a resource negotiation task. we systematically
manipulate tone, explanation quality, outcome inequality, and task framing
(collaborative vs. competitive) to assess how if influences agent behavior.
results show that tone and justification quality significantly affect
acceptance decisions even when objective outcomes are held constant. in
addition, the influence of if vs. inff varies with context. this work lays the
foundation for fairness auditing and norm-sensitive alignment in llm-mas."
Qualia Optimization,"This report explores the speculative question: what if current or future AI
systems have qualia, such as pain or pleasure? It does so by assuming that AI
systems might someday possess qualia -- and that the quality of these
subjective experiences should be considered alongside performance metrics.
Concrete mathematical problem settings, inspired by reinforcement learning
formulations and theories from philosophy of mind, are then proposed and
initial approaches and properties are presented. These properties enable
refinement of the problem setting, culminating with the proposal of methods
that promote reinforcement.",['Philip S. Thomas'],2025-05-16 01:34:03+00:00,2025-05-16 01:34:03+00:00,http://arxiv.org/pdf/2505.10779v1,cs.AI,['cs.AI'],"qualia optimization this report explores the speculative question: what if current or future ai
systems have qualia, such as pain or pleasure? it does so by assuming that ai
systems might someday possess qualia -- and that the quality of these
subjective experiences should be considered alongside performance metrics.
concrete mathematical problem settings, inspired by reinforcement learning
formulations and theories from philosophy of mind, are then proposed and
initial approaches and properties are presented. these properties enable
refinement of the problem setting, culminating with the proposal of methods
that promote reinforcement."
Structure & Quality: Conceptual and Formal Foundations for the Mind-Body Problem,"This paper explores the hard problem of consciousness from a different
perspective. Instead of drawing distinctions between the physical and the
mental, an exploration of a more foundational relationship is examined: the
relationship between structure and quality.
  Information-theoretic measures are developed to quantify the mutual
determinability between structure and quality, including a novel Q-S space for
analyzing fidelity between the two domains. This novel space naturally points
toward a five-fold categorization of possible relationships between structural
and qualitative properties, illustrating each through conceptual and formal
models.
  The ontological implications of each category are examined, shedding light on
debates around functionalism, emergentism, idealism, panpsychism, and neutral
monism.
  This new line of inquiry has established a framework for deriving theoretical
constraints on qualitative systems undergoing evolution that is explored in my
companion paper, Qualia & Natural Selection.",['Ryan Williams'],2025-04-23 23:49:40+00:00,2025-04-23 23:49:40+00:00,http://arxiv.org/pdf/2505.05481v1,q-bio.NC,"['q-bio.NC', 'cs.AI']","structure & quality: conceptual and formal foundations for the mind-body problem this paper explores the hard problem of consciousness from a different
perspective. instead of drawing distinctions between the physical and the
mental, an exploration of a more foundational relationship is examined: the
relationship between structure and quality.
  information-theoretic measures are developed to quantify the mutual
determinability between structure and quality, including a novel q-s space for
analyzing fidelity between the two domains. this novel space naturally points
toward a five-fold categorization of possible relationships between structural
and qualitative properties, illustrating each through conceptual and formal
models.
  the ontological implications of each category are examined, shedding light on
debates around functionalism, emergentism, idealism, panpsychism, and neutral
monism.
  this new line of inquiry has established a framework for deriving theoretical
constraints on qualitative systems undergoing evolution that is explored in my
companion paper, qualia & natural selection."
