Title,Summary,Authors,Published,Updated,PDF_URL,Primary_Category,Categories
Visually grounded emotion regulation via diffusion models and user-driven reappraisal,"Cognitive reappraisal is a key strategy in emotion regulation, involving
reinterpretation of emotionally charged stimuli to alter affective responses.
Despite its central role in clinical and cognitive science, real-world
reappraisal interventions remain cognitively demanding, abstract, and primarily
verbal. This reliance on higher-order cognitive and linguistic processes is
often impaired in individuals with trauma or depression, limiting the
effectiveness of standard approaches. Here, we propose a novel, visually based
augmentation of cognitive reappraisal by integrating large-scale text-to-image
diffusion models into the emotional regulation process. Specifically, we
introduce a system in which users reinterpret emotionally negative images via
spoken reappraisals, which are transformed into supportive, emotionally
congruent visualizations using stable diffusion models with a fine-tuned
IP-adapter. This generative transformation visually instantiates users'
reappraisals while maintaining structural similarity to the original stimuli,
externalizing and reinforcing regulatory intent. To test this approach, we
conducted a within-subject experiment (N = 20) using a modified cognitive
emotion regulation (CER) task. Participants reappraised or described aversive
images from the International Affective Picture System (IAPS), with or without
AI-generated visual feedback. Results show that AI-assisted reappraisal
significantly reduced negative affect compared to both non-AI and control
conditions. Further analyses reveal that sentiment alignment between
participant reappraisals and generated images correlates with affective relief,
suggesting that multimodal coherence enhances regulatory efficacy. These
findings demonstrate that generative visual input can support cogitive
reappraisal and open new directions at the intersection of generative AI,
affective computing, and therapeutic technology.","['Edoardo Pinzuti', 'Oliver Tüscher', 'André Ferreira Castro']",2025-07-14 23:28:59+00:00,2025-07-14 23:28:59+00:00,http://arxiv.org/pdf/2507.10861v1,cs.LG,['cs.LG']
Evaluating the Effectiveness of Large Language Models in Solving Simple Programming Tasks: A User-Centered Study,"As large language models (LLMs) become more common in educational tools and
programming environments, questions arise about how these systems should
interact with users. This study investigates how different interaction styles
with ChatGPT-4o (passive, proactive, and collaborative) affect user performance
on simple programming tasks. I conducted a within-subjects experiment where
fifteen high school students participated, completing three problems under
three distinct versions of the model. Each version was designed to represent a
specific style of AI support: responding only when asked, offering suggestions
automatically, or engaging the user in back-and-forth dialogue.Quantitative
analysis revealed that the collaborative interaction style significantly
improved task completion time compared to the passive and proactive conditions.
Participants also reported higher satisfaction and perceived helpfulness when
working with the collaborative version. These findings suggest that the way an
LLM communicates, how it guides, prompts, and responds, can meaningfully impact
learning and performance. This research highlights the importance of designing
LLMs that go beyond functional correctness to support more interactive,
adaptive, and user-centered experiences, especially for novice programmers.",['Kai Deng'],2025-07-05 13:52:31+00:00,2025-07-05 13:52:31+00:00,http://arxiv.org/pdf/2507.04043v1,cs.HC,"['cs.HC', 'cs.AI']"
Interaction Techniques that Encourage Longer Prompts Can Improve Psychological Ownership when Writing with AI,"Writing longer prompts for an AI assistant to generate a short story
increases psychological ownership, a user's feeling that the writing belongs to
them. To encourage users to write longer prompts, we evaluated two interaction
techniques that modify the prompt entry interface of chat-based generative AI
assistants: pressing and holding the prompt submission button, and continuously
moving a slider up and down when submitting a short prompt. A within-subjects
experiment investigated the effects of such techniques on prompt length and
psychological ownership, and results showed that these techniques increased
prompt length and led to higher psychological ownership than baseline
techniques. A second experiment further augmented these techniques by showing
AI-generated suggestions for how the prompts could be expanded. This further
increased prompt length, but did not lead to improvements in psychological
ownership. Our results show that simple interface modifications like these can
elicit more writing from users and improve psychological ownership.","['Nikhita Joshi', 'Daniel Vogel']",2025-07-04 15:44:24+00:00,2025-07-04 15:44:24+00:00,http://arxiv.org/pdf/2507.03670v1,cs.HC,"['cs.HC', 'cs.AI', 'cs.CL']"
Longitudinal analysis of heart rate variability as it pertains to anxiety and readiness,"The aim of this study is to explore the relationship between lifestyle
choices, subjective experiences and objective biometric data in a single
individual. The participant, at the time a male in his twenties, used the
EliteHRV app to perform Heart Rate Variability Readings across twenty-six
months accompanied by logs about the previous days activity as well as current
emotional and physical state. The study will use a mixed-methods approach to
analyze the data, including quantitative analysis of the biometric data and
correlation analysis between the biometric data and subjective experience tags.
Qualitative analysis of the daily logs will also be conducted to gain a deeper
understanding of the participant's experiences and to identify keywords,
people, or ideas that affect biometric output. The results of this study will
provide insights into the relationship between subjective and objective
measures, and the potential benefits or drawbacks of certain lifestyle choices
and ways of thinking. The findings could have implications for the development
of wearable-based personalized interventions for improving mental health and
well-being.",['Tucker Paron'],2025-06-23 21:01:00+00:00,2025-06-23 21:01:00+00:00,http://arxiv.org/pdf/2506.19128v1,q-bio.NC,['q-bio.NC']
Robots and Children that Learn Together : Improving Knowledge Retention by Teaching Peer-Like Interactive Robots,"Despite growing interest in Learning-by-Teaching (LbT), few studies have
explored how this paradigm can be implemented with autonomous, peer-like social
robots in real classrooms. Most prior work has relied on scripted or
Wizard-of-Oz behaviors, limiting our understanding of how real-time,
interactive learning can be supported by artificial agents. This study
addresses this gap by introducing Interactive Reinforcement Learning (RL) as a
cognitive model for teachable social robots. We conducted two between-subject
experiments with 58 primary school children, who either taught a robot or
practiced independently on a tablet while learning French vocabulary
(memorization) and grammatical rules (inference). The robot, powered by
Interactive RL, learned from the child's evaluative feedback. Children in the
LbT condition achieved significantly higher retention gains compared to those
in the self-practice condition, especially on the grammar task. Learners with
lower prior knowledge benefited most from teaching the robot. Behavioural
metrics revealed that children adapted their teaching strategies over time and
engaged more deeply during inference tasks. This work makes two contributions:
(1) it introduces Interactive RL as a pedagogically effective and scalable
model for peer-robot learning, and (2) it demonstrates, for the first time, the
feasibility of deploying multiple autonomous robots simultaneously in real
classrooms. These findings extend theoretical understanding of LbT by showing
that social robots can function not only as passive tutees but as adaptive
partners that enhance meta-cognitive engagement and long-term learning
outcomes.","['Imene Tarakli', 'Samuele Vinanzi', 'Richard Moore', 'Alessandro Di Nuovo']",2025-06-23 07:51:04+00:00,2025-06-23 07:51:04+00:00,http://arxiv.org/pdf/2506.18365v1,cs.RO,"['cs.RO', 'cs.AI', 'cs.HC']"
Which Consciousness Can Be Artificialized? Local Percept-Perceiver Phenomenon for the Existence of Machine Consciousness,"This paper presents a novel paradigm of the local percept-perceiver
phenomenon to formalize certain observations in neuroscientific theories of
consciousness. Using this model, a set-theoretic formalism is developed for
artificial systems, and the existence of machine consciousness is proved by
invoking Zermelo-Fraenkel set theory. The article argues for the possibility of
a reductionist form of epistemic consciousness within machines.",['Shri Lal Raghudev Ram Singh'],2025-06-22 01:53:14+00:00,2025-06-22 01:53:14+00:00,http://arxiv.org/pdf/2506.18935v1,q-bio.NC,"['q-bio.NC', 'cs.AI']"
Quantifying Flow State Dynamics: A Prefrontal Cortex EEG-Based Model Validation Study. Unveiling the Prefrontal Cortex's Role in Flow State Experience: An Empirical EEG Analysis,"This article aims to explore the optimization of mental performance through
the analysis of metrics associated with the psychological state known as flow.
Several clinical studies have shown a correlation between the mental state of
flow (characterized by deep and relaxed concentration and high psychophysical
efficiency) and brain activity measured through electroencephalography (EEG).
This study confirms such a correlation, focusing in particular on the sports
field, where the flow state tends to occur more frequently. To conduct the
study, Sporthype developed proprietary software that integrates several
predictive models, in particular the Flow State Index (FSI), implemented within
the Holytics system. An analytical protocol was established, including mental
exercises and data collection sessions using the portable EEG device Muse,
accompanied by a questionnaire to gather athletes' subjective perceptions of
their mental state. The results revealed a significant alignment between the
EEG data and the subjective experiences reported in the questionnaires,
confirming the feasibility of detecting the flow state through prefrontal
cortex activity. Furthermore, the psychological exercises included in the study
protocol showed a tangible positive effect in enhancing flow during athletic
performance. Flow improves performance through a more harmonious
synchronization between mind and body. Although golf was the main context of
the experimentation, the mathematical models developed within Holytics were
designed to be applicable to a wide range of sports. In addition to golf,
preliminary tests have been conducted in other sports such as tennis, as well
as in non-sport contexts, including gaming and mental training practices such
as mindfulness, concentration, and visualization.","['Gianluca Rosso', 'Raffaella Ricci', 'Lorenzo Pia', 'Giovanni Rebaudo', 'Michele Guindani', 'Alberto Marocchino', 'Giorgio De Pieri', 'Andrea Filippo Rosso']",2025-06-20 08:42:17+00:00,2025-06-20 08:42:17+00:00,http://arxiv.org/pdf/2506.16838v1,stat.AP,"['stat.AP', 'q-bio.NC']"
The Effect of State Representation on LLM Agent Behavior in Dynamic Routing Games,"Large Language Models (LLMs) have shown promise as decision-makers in dynamic
settings, but their stateless nature necessitates creating a natural language
representation of history. We present a unifying framework for systematically
constructing natural language ""state"" representations for prompting LLM agents
in repeated multi-agent games. Previous work on games with LLM agents has taken
an ad hoc approach to encoding game history, which not only obscures the impact
of state representation on agents' behavior, but also limits comparability
between studies. Our framework addresses these gaps by characterizing methods
of state representation along three axes: action informativeness (i.e., the
extent to which the state representation captures actions played); reward
informativeness (i.e., the extent to which the state representation describes
rewards obtained); and prompting style (or natural language compression, i.e.,
the extent to which the full text history is summarized).
  We apply this framework to a dynamic selfish routing game, chosen because it
admits a simple equilibrium both in theory and in human subject experiments
\cite{rapoport_choice_2009}. Despite the game's relative simplicity, we find
that there are key dependencies of LLM agent behavior on the natural language
state representation. In particular, we observe that representations which
provide agents with (1) summarized, rather than complete, natural language
representations of past history; (2) information about regrets, rather than raw
payoffs; and (3) limited information about others' actions lead to behavior
that more closely matches game theoretic equilibrium predictions, and with more
stable game play by the agents. By contrast, other representations can exhibit
either large deviations from equilibrium, higher variation in dynamic game play
over time, or both.","['Lyle Goodyear', 'Rachel Guo', 'Ramesh Johari']",2025-06-18 16:53:38+00:00,2025-06-18 16:53:38+00:00,http://arxiv.org/pdf/2506.15624v1,cs.AI,"['cs.AI', 'I.2.11; I.6.4; F.1.2; F.2.2; G.3; J.7']"
Ghost in the Machine: Examining the Philosophical Implications of Recursive Algorithms in Artificial Intelligence Systems,"This paper investigates whether contemporary AI architectures employing deep
recursion, meta-learning, and self-referential mechanisms provide evidence of
machine consciousness. Integrating philosophical history, cognitive science,
and AI engineering, it situates recursive algorithms within a lineage spanning
Cartesian dualism, Husserlian intentionality, Integrated Information Theory,
the Global Workspace model, and enactivist perspectives. The argument proceeds
through textual analysis, comparative architecture review, and synthesis of
neuroscience findings on integration and prediction. Methodologically, the
study combines conceptual analysis, case studies, and normative risk assessment
informed by phenomenology and embodied cognition. Technical examples, including
transformer self-attention, meta-cognitive agents, and neuromorphic chips,
illustrate how functional self-modeling can arise without subjective
experience. By distinguishing functional from phenomenal consciousness, the
paper argues that symbol grounding, embodiment, and affective qualia remain
unresolved barriers to attributing sentience to current AI. Ethical analysis
explores risks of premature anthropomorphism versus neglect of future sentient
systems; legal implications include personhood, liability, authorship, and
labor impacts. Future directions include quantum architectures, embodied
robotics, unsupervised world modeling, and empirical tests for non-biological
phenomenality. The study reframes the ""hard problem"" as a graded and
increasingly testable phenomenon, rather than a metaphysical impasse. It
concludes that recursive self-referential design enhances capability but does
not entail consciousness or justify moral status. Keywords: Recursive
algorithms; self-reference; machine consciousness; AI ethics; AI consciousness",['Llewellin RG Jegels'],2025-06-18 08:44:35+00:00,2025-06-18 08:44:35+00:00,http://arxiv.org/pdf/2507.01967v1,q-bio.NC,['q-bio.NC']
The Perception of Phase Intercept Distortion and its Application in Data Augmentation,"Phase distortion refers to the alteration of the phase relationships between
frequencies in a signal, which can be perceptible. In this paper, we discuss a
special case of phase distortion known as phase-intercept distortion, which is
created by a frequency-independent phase shift. We hypothesize that, though
this form of distortion changes a signal's waveform significantly, the
distortion is imperceptible. Human-subject experiment results are reported
which are consistent with this hypothesis. Furthermore, we discuss how the
imperceptibility of phase-intercept distortion can be useful for machine
learning, specifically for data augmentation. We conducted multiple experiments
using phase-intercept distortion as a novel approach to data augmentation, and
obtained improved results for audio machine learning tasks.","['Venkatakrishnan Vaidyanathapuram Krishnan', 'Nathaniel Condit-Schultz']",2025-06-17 14:28:14+00:00,2025-06-17 14:28:14+00:00,http://arxiv.org/pdf/2506.14571v1,eess.SP,"['eess.SP', 'cs.LG', 'eess.AS']"
